'		拡
wm	うぉ
wz	うぉー
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
g;	がん
gx	ぎん
gk	ぐん
gj	げん
gq	ごん
g'	がい
gy	ぐい
gp	ぐう
g.	げい
g,	ごう
gg		ぐp
gc	ぎゅう
gr		ぎf
gl	ぎょう
gt	ごと
gn		ガつ
gs		ガく
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
z;	ざん
zx	じん
zk	ずん
zj	ぜん
zq	ぞん
z'	ざい
zy	ずい
zp	ずう
z.	ぜい
z,	ぞう
zd		ザき
zh		ザく
zt		ザつ
zn		ずp
zm		じf
zv		ざp
zz	じょう
zw	じゅう
da	だ
di	ぢ
du	づ
de	で
do	ど
d;	だん
dx	ぢん
dk	づん
dj	でん
dq	どん
d'	だい
dy	づい
dp	づう
d.	でい
d,	どう
dg	だが
dc	でき
dr		どp
dl		ダく
dd	ので
dh	では
dt		であp
dn		ぢf
ds		でo
db		でf
dm	でも
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
b;	ばん
bx	びん
bk	ぶん
bj	べん
bq	ぼん
b'	ばい
by	ぶい
bp	ぶう
b.	べい
b,	ぼう
br		ぶp
bl		ばp
bt		バつ
bv		びf
bz	びょう
bw	びゅう
bc	べき
bs		バく
la	ぱ
li	ぴ
lu	ぷ
le	ぺ
lo	ぽ
l;	ぱん
lx	ぴん
lk	ぷん
lj	ぺん
lq	ぽん
l'	ぱい
ly	ぷい
lp	ぷう
l.	ぺい
l,	ぽう
lg		ぴf
lc	ぴゅう
lr		ぷp
ll	ぴょう
lt		パつ
lh		パく
va	ふぁ
vi	ふぃ
vu	ふゅ
ve	ふぇ
vo	ふぉ
v;	ふぁん
vx	ふぃん
vk	ふゅん
vj	ふぇん
vq	ふぉん
v'	ふぁい
vy	ふゅい
vp	ふゅー
v.	ふぇい
v,	ふぉー
vc	ふゅー
vl	ふぉー
vv	おなじ
ya	ヴぁ
yi	ヴぃ
yu	ヴゅ
ye	ヴぇ
yo	ヴぉ
y;	ヴぁん
yx	ヴぃん
yk	ヴゅん
yj	ヴぇん
yq	ヴぉん
y'	ヴぁい
yy	ヴゅい
yp	ヴゅー
y.	ヴぇい
y,	ヴぉー
yz	ヴぉー
yw	ヴゅー
きfa	きゃ
きfi	きぃ
きfu	きゅ
きfe	きぇ
きfo	きょ
きf;	きゃん
きfx	きぃん
きfk	きゅん
きfj	きぇん
きfq	きょん
きf'	きゃい
きfy	きゅい
きfp	きゅう
きf.	きぇい
きf,	きょう
きfr	きょく
きfl	きゃく
しfa	しゃ
しfi	しぃ
しfu	しゅ
しfe	しぇ
しfo	しょ
しf;	しゃん
しfx	しぃん
しfk	しゅん
しfj	しぇん
しfq	しょん
しf'	しゃい
しfy	しゅい
しfp	しゅう
しf.	しぇい
しf,	しょう
しfh	しゅく
しft	しゅつ
しfn	しょく
しfs	しゃく
ちfa	ちゃ
ちfi	ちぃ
ちfu	ちゅ
ちfe	ちぇ
ちfo	ちょ
ちf;	ちゃん
ちfx	ちぃん
ちfk	ちゅん
ちfj	ちぇん
ちfq	ちょん
ちf'	ちゃい
ちfy	ちゅい
ちfp	ちゅう
ちf.	ちぇい
ちf,	ちょう
ちfn	ちょく
ちfs	ちゃく
にfa	にゃ
にfi	にぃ
にfu	にゅ
にfe	にぇ
にfo	にょ
にf;	にゃん
にfx	にぃん
にfk	にゅん
にfj	にぇん
にfq	にょん
にf'	にゃい
にfy	にゅい
にfp	にゅう
にf.	にぇい
にf,	にょう
にfn	にょく
にfs	にゃく
ひfa	ひゃ
ひfi	ひぃ
ひfu	ひゅ
ひfe	ひぇ
ひfo	ひょ
ひf;	ひゃん
ひfx	ひぃん
ひfk	ひゅん
ひfj	ひぇん
ひfq	ひょん
ひf'	ひゃい
ひfy	ひゅい
ひfp	ひゅう
ひf.	ひぇい
ひf,	ひょう
ひfn	はな
ひfs	ひゃく
みfa	みゃ
みfi	みぃ
みfu	みゅ
みfe	みぇ
みfo	みょ
みf;	みゃん
みfx	みぃん
みfk	みゅん
みfj	みぇん
みfq	みょん
みf'	みゃい
みfy	みゅい
みfp	みゅー
みf.	みぇい
みf,	みょう
みfv	みょく
みfz	みゃく
りfa	りゃ
りfi	りぃ
りfu	りゅ
りfe	りぇ
りfo	りょ
りf;	りゃん
りfx	りぃん
りfk	りゅん
りfj	りぇん
りfq	りょん
りf'	りゃい
りfy	りゅい
りfp	りゅう
りf.	りぇい
りf,	りょう
りfr	りょく
りfl	りゃく
ぎfa	ぎゃ
ぎfi	ぎぃ
ぎfu	ぎゅ
ぎfe	ぎぇ
ぎfo	ぎょ
ぎf;	ぎゃん
ぎfx	ぎぃん
ぎfk	ぎゅん
ぎfj	ぎぇん
ぎfq	ぎょん
ぎf'	ぎゃい
ぎfy	ぎゅい
ぎfp	ぎゅう
ぎf.	ぎぇい
ぎf,	ぎょう
ぎfr	ぎょく
ぎfl	ぎゃく
じfa	じゃ
じfi	じぃ
じfu	じゅ
じfe	じぇ
じfo	じょ
じf;	じゃん
じfx	じぃん
じfk	じゅん
じfj	じぇん
じfq	じょん
じf'	じゃい
じfy	じゅい
じfp	じゅう
じf.	じぇい
じf,	じょう
じfm	じゅく
じfv	じょく
じfz	じゃく
じfw	じゅつ
ぢfa	ぢゃ
ぢfi	ぢぃ
ぢfu	ぢゅ
ぢfe	ぢぇ
ぢfo	ぢょ
ぢf;	ぢゃん
ぢfx	ぢぃん
ぢfk	ぢゅん
ぢfj	ぢぇん
ぢfq	ぢょん
ぢf'	ぢゃい
ぢfy	ぢゅい
ぢfp	ぢゅう
ぢf.	ぢぇい
ぢf,	ぢょう
びfa	びゃ
びfi	びぃ
びfu	びゅ
びfe	びぇ
びfo	びょ
びf;	びゃん
びfx	びぃん
びfk	びゅん
びfj	びぇん
びfq	びょん
びf'	びゃい
びfy	びゅい
びfp	びゅう
びf.	びぇい
びf,	びょう
びfz	びゃく
ぴfa	ぴゃ
ぴfi	ぴぃ
ぴfu	ぴゅ
ぴfe	ぴぇ
ぴfo	ぴょ
ぴf;	ぴゃん
ぴfx	ぴぃん
ぴfk	ぴゅん
ぴfj	ぴぇん
ぴfq	ぴょん
ぴf'	ぴゃい
ぴfy	ぴゅい
ぴfp	ぴゅう
ぴf.	ぴぇい
ぴf,	ぴょう
ぴfl	ぴゃく
てfi	てぃ
てfu	てゅ
てfo	とぅ
てfx	てぃん
てfk	てゅん
つfa	つぁ
つfi	つぃ
つfu	つぅ
つfe	つぇ
つfo	つぉ
つf;	つぁん
つfx	つぃん
つfk	つぅん
つfj	つぇん
つfq	つぉん
つf'	つぁい
つf.	つぇい
つf,	つぉう
でfi	でぃ
でfu	でゅ
でfo	どぅ
でfx	でぃん
でfk	でゅん
っ'	った
っy	っち
っp	っつ
っ.	って
っ,	っと
くpa	くら
くpi	くり
くpu	くる
くpe	くれ
くpo	くろ
くp;	くらん
くpx	くりん
くpk	くるん
くpj	くれん
くpq	くろん
くp'	くらい
くpy	くるい
くpp	くるう
くp.	くれい
くp,	くろう
すpa	すら
すpi	すり
すpu	する
すpe	すれ
すpo	すろ
すp;	すらん
すpx	すりん
すpk	するん
すpj	すれん
すpq	すろん
すp'	すらい
すpy	するい
すpp	するう
すp.	すれい
すp,	すろう
とpa	とら
とpi	とり
とpu	とる
とpe	とれ
とpo	とろ
とp;	とらん
とpx	とりん
とpk	とるん
とpj	とれい
とpq	とろん
とp'	とらい
とpy	とるい
とpp	とるう
とp.	とれい
とp,	とろう
なpa	なら
なpi	なり
なpu	なる
なpe	なれ
なpo	なろ
なp;	ならん
なpx	なりん
なpk	なるん
なpj	なれん
なpq	なろん
なp'	ならい
なpy	なるい
なpp	なるう
なp.	なれい
なp,	なろう
ふpa	ふら
ふpi	ふり
ふpu	ふる
ふpe	ふれ
ふpo	ふろ
ふp;	ふらん
ふpx	ふりん
ふpk	ふるん
ふpj	ふれん
ふpq	ふろん
ふp'	ふらい
ふpy	ふるい
ふpp	ふるう
ふp.	ふれい
ふp,	ふろう
まpa	まら
まpi	まり
まpu	まる
まpe	まれ
まpo	まろ
まp;	まらん
まpx	まりん
まpk	まるん
まpj	まれん
まpq	まろん
まp'	まらい
まpy	まるい
まpp	まるう
まp.	まれい
まp,	まろう
やpa	やら
やpi	やり
やpu	やる
やpe	やれ
やpo	やろ
やp;	やらん
やpx	やりん
やpk	やるん
やpj	やれん
やpq	やろん
やp'	やらい
やpy	やるい
やpp	やるう
やp.	やれい
やp,	やろう
よpa	よら
よpi	より
よpu	よる
よpe	よれ
よpo	よろ
よp;	よらん
よpx	よりん
よpk	よるん
よpj	よれん
よpq	よろん
よp'	よらい
よpy	よるい
よpp	よるう
よp.	よれい
よp,	よろう
わpa	わら
わpi	わり
わpu	わる
わpe	われ
わpo	わろ
わp;	わらん
わpx	わりん
わpk	わるん
わpj	われん
わpq	わろん
わp'	わらい
わpy	わるい
わpp	わるう
わp.	われい
わp,	わろう
ぐpa	ぐら
ぐpi	ぐり
ぐpu	ぐる
ぐpe	ぐれ
ぐpo	ぐろ
ぐp;	ぐらん
ぐpx	ぐりん
ぐpk	ぐるん
ぐpj	ぐれん
ぐpq	ぐろん
ぐp'	ぐらい
ぐpy	ぐるい
ぐpp	ぐるう
ぐp.	ぐれい
ぐp,	ぐろう
ずpa	ずら
ずpi	ずり
ずpu	ずる
ずpe	ずれ
ずpo	ずろ
ずp;	ずらん
ずpx	ずりん
ずpk	ずるん
ずpj	ずれん
ずpq	ずろん
ずp'	ずらい
ずpy	ずるい
ずpp	ずるう
ずp.	ずれい
ずp,	ずろう
どpa	どら
どpi	どり
どpu	どる
どpe	どれ
どpo	どろ
どp;	どらん
どpx	どりん
どpk	どるん
どpj	どれん
どpq	どろん
どp'	どらい
どpy	どるい
どpp	どるう
どp.	どれい
どp,	どろう
ぶpa	ぶら
ぶpi	ぶり
ぶpu	ぶる
ぶpe	ぶれ
ぶpo	ぶろ
ぶp;	ぶらん
ぶpx	ぶりん
ぶpk	ぶるん
ぶpj	ぶれん
ぶpq	ぶろん
ぶp'	ぶらい
ぶpy	ぶるい
ぶpp	ぶるう
ぶp.	ぶれい
ぶp,	ぶろう
ぷpa	ぷら
ぷpi	ぷり
ぷpu	ぷる
ぷpe	ぷれ
ぷpo	ぷろ
ぷp;	ぷらん
ぷpx	ぷりん
ぷpk	ぷるん
ぷpj	ぷれん
ぷpq	ぷろん
ぷp'	ぷらい
ぷpy	ぷるい
ぷpp	ぷるう
ぷp.	ぷれい
ぷp,	ぷろう
カくa	かく
カくi	きく
カくu	くく
カくe	けく
カくo	こく
サくa	さく
サくi	しく
サくu	すく
サくe	せく
サくo	そく
タくa	たく
タくi	ちく
タくu	つく
タくe	てく
タくo	とく
ナくa	なく
ナくa	なく
ナくi	にく
ナくi	にく
ナくu	ぬく
ナくu	ぬく
ナくe	ねく
ナくe	ねく
ナくo	のく
ナくo	のく
ハくa	はく
ハくi	ひく
ハくu	ふく
ハくe	へく
ハくo	ほく
マくa	まく
マくi	みく
マくu	むく
マくe	めく
マくo	もく
ヤくa	やく
ヤくu	ゆく
ヤくo	よく
ラくa	らく
ラくi	りく
ラくu	るく
ラくe	れく
ラくo	ろく
ワくa	わく
ガくa	がく
ガくi	ぎく
ガくu	ぐく
ガくe	げく
ガくo	ごく
ザくa	ざく
ザくi	じく
ザくu	ずく
ザくe	ぜく
ザくo	ぞく
ダくa	だく
ダくi	ぢく
ダくu	づく
ダくe	でく
ダくo	どく
バくa	ばく
バくi	びく
バくu	ぶく
バくe	べく
バくo	ぼく
パくa	ぱく
パくi	ぴく
パくu	ぷく
パくe	ぺく
パくo	ぽく
カつa	かつ
カつi	きつ
カつu	くつ
カつe	けつ
カつo	こつ
サきa	さき
サきi	しき
サきu	すき
サきe	せき
サきo	そき
サつa	さつ
サつi	しつ
サつu	すつ
サつe	せつ
サつo	そつ
ガつa	がつ
ガつi	ぎつ
ガつu	ぐつ
ガつe	げつ
ガつo	ごつ
ザつa	ざつ
ザつi	じつ
ザつu	ずつ
ザつe	ぜつ
ザつo	ぞつ
バつa	ばつ
バつi	びつ
バつu	ぶつ
バつe	べつ
バつo	ぼつ
ハつa	はつ
ハつi	ひつ
ハつu	ふつ
ハつe	へつ
ハつo	ほつ
パつa	ぱつ
パつi	ぴつ
パつu	ぷつ
パつe	ぺつ
パつo	ぽつ
マつa	まつ
マつi	みつ
マつu	むつ
マつe	めつ
マつo	もつ
ラつa	らつ
ラつi	りつ
ラつu	るつ
ラつe	れつ
ラつo	ろつ
タきa	たき
タきi	ちき
タきu	つき
タきe	てき
タきo	とき
ザきa	ざき
ザきi	じき
ザきu	ずき
ザきe	ぜき
ザきo	ぞき
カくr	すくな
きfn	こころ
ざpa	ざら
ざpi	ざり
ざpu	ざる
ざpe	ざれ
ざpo	ざろ
されpa	された
されpu	される
されpe	されて
されpo	されろ
されp,	されよう
しya	した
しyi	しち
しyu	しつ
しye	して
しyo	しと
しまoa	しました
しまou	します
しまoe	しまして
しまoj	しません
しまo,	しましょう
でoa	でした
でou	です
でoe	でして
でo,	でしょう
であpa	であった
であpi	であり
であpu	である
であpe	であれ
であpe	であって
であp;	であらん
であp'	であった
であp,	であろう
であpt		であっy
であっya	であった
であっye	であって
はなoa	はなさ
はなoi	はなし
はなou	はなす
はなoe	はなせ
はなoo	はなそ
はなo;	はなさん
はなo,	はなそう
まoa	ました
まoi	まし
まou	ます
まoe	まして
まoj	ません
まo,	ましょう
やすta	やすか
やすti	やすき
やすtu	やすく
やすte	やすけ
やすto	やすこ
やすtx	やすい
やすty	やすい
わかpa	わから
わかpi	わかり
わかpu	わかる
わかpe	わかれ
わかpo	わかろ
わかp;	わからん
わかpk	わかるん
わかp,	わかろう
ちfr	ところ
にfh	においては
にft	において
にfm	においても
ぢfd	だけでな
拡u	→
拡e	↓
拡o	←
拡.	↑
拡z	～
拡f		○
○f		●
●f		◎
◎f		○
拡g		△
△g		▲
▲g		▽
▽g		▼
▼g		△
拡c		□
□c		■
■c		◇
◇c		◆
◆c		□
拡r		☆
☆r		★
★r		☆
拡d		（）
（）d		〔〕
〔〕d		（）
拡h		［］
［］h		｛｝
｛｝h		［］
拡t		〈〉
〈〉t		《》
《》t		〈〉
拡n		「」
「」n		『』
『』n		【】
【】n		「」
拡s		〝〟
〝〟s		“”
“”s		‘’
‘’s		〝〟
拡b		・
・b		：
：b		・
拡m		？
？m		！
！m		？
拡v		ヽ
ヽv		ヾ
ヾv		ゝ
ゝv		〃
〃v		仝
仝v		々
々v		ヽ
拡l		※
※l		〒
〒l		※
